NAME,LINE,lang,long,bound1,reason1,bound2,reason2
Mets-Willets Point,"['7', '7 Express']",40.75462199881262,-73.8456249984179,0.0,0.0,0.0,0.0
Junction Blvd,"['7', '7 Express']",40.74914499948836,-73.86952700103515,0.0,0.0,0.0,0.0
Flushing-Main St,"['7', '7 Express']",40.75959999915012,-73.83003000262508,0.0,0.0,0.0,0.0
Woodside-61 St,"['7', '7 Express']",40.745630001138395,-73.90298400173006,0.0,0.0,0.0,0.0
Court Sq,"['7', '7 Express']",40.74702299889643,-73.94526400039679,0.0,0.0,0.0,0.0
Hunters Point Av,"['7', '7 Express']",40.74221599986316,-73.9489160009391,0.0,0.0,0.0,0.0
Vernon Blvd-Jackson Av,"['7', '7 Express']",40.74262599969749,-73.95358099875249,0.0,0.0,0.0,0.0
Queensboro Plz,"['7', '7 Express', 'N', 'W']",40.750635651014804,-73.9401635351909,0.0,0.0,0.0,0.0
103 St-Corona Plaza,['7'],40.749865000555545,-73.86269999830412,0.0,0.0,0.0,0.0
111 St,['7'],40.75172999941711,-73.85533399834884,0.0,0.0,0.0,0.0
Times Sq-42 St,"['7', '7 Express']",40.755477001982506,-73.98769099825152,0.0,0.0,0.0,0.0
Grand Central-42 St,"['7', '7 Express']",40.751431000286864,-73.97604100111508,0.0,0.0,0.0,0.0
69 St,['7'],40.746324999410284,-73.8964029993185,0.0,0.0,0.0,0.0
74 St-Broadway,['7'],40.746867573829114,-73.8912051289911,0.0,0.0,0.0,0.0
52 St,['7'],40.744149001021576,-73.91254899891254,0.0,0.0,0.0,0.0
46 St,['7'],40.74313200060382,-73.91843500103973,0.0,0.0,0.0,0.0
82 St-Jackson Hts,['7'],40.747658999559135,-73.88369700071884,0.0,0.0,0.0,0.0
90 St-Elmhurst Av,['7'],40.74840800060913,-73.87661299986985,0.0,0.0,0.0,0.0
33 St,['7'],40.74458699983993,-73.93099699953838,0.0,0.0,0.0,0.0
40 St,['7'],40.74378100149132,-73.9240159984882,0.0,0.0,0.0,0.0
5 Av-Bryant Pk,"['7', '7 Express']",40.75382100064824,-73.98196299856706,0.0,0.0,0.0,0.0
34 St-Hudson Yards,"['7', '7 Express']",40.75544635961596,-74.00219709442206,0.0,0.0,0.0,0.0
